,전용면적(㎡),계약일,거래금액(만원),층,건축년도,구,동,평,계약년,계약월,한강,건물나이,재건축,단지명
270774,4.364244465,16,10.98530967,2.397895273,1973,22,280,3.280911216,2015,6,0,42,0.6931471806,주미
270775,4.634243433,29,11.21856783,2.48490665,1973,22,280,3.543853682,2015,6,0,42,0.6931471806,주미
270776,4.975905814,6,11.23850178,2.708050201,1995,22,280,3.881563798,2014,9,0,19,0,카사빌라
270777,4.449451611,7,10.96821553,1.791759469,2001,22,280,3.363841595,2015,3,0,14,0,한강빌라
270874,3.526066364,2,9.615872145,2.197224577,2001,22,199,2.4765384,2015,5,0,14,0,리버힐삼성아파트(임대)
270903,4.77718885,13,11.15626481,2.197224577,2000,22,322,3.686376324,2014,9,0,14,0,그린파크(코오롱하늘채)
271061,4.448516376,14,10.54536775,2.079441542,2002,22,226,3.363841595,2015,3,0,13,0,대성2차
271088,4.233091497,5,10.22197765,1.945910149,1982,22,166,3.152736022,2015,1,0,33,0.6931471806,용암한신
271092,4.374876131,28,10.71443999,2.564949357,1981,22,166,3.292126287,2015,7,0,34,0.6931471806,한신
271098,4.823662939,6,11.72804491,3.401197382,2009,22,330,3.730501129,2015,2,0,6,0,용산파크타워(24-0)
271101,4.886809035,7,11.78296024,3.044522438,2009,22,330,3.793239469,2015,3,0,6,0,용산파크타워(24-0)
271106,4.780802755,6,11.69525536,2.890371758,2009,22,330,3.688879454,2015,7,0,6,0,용산파크타워(24-0)
271114,5.201916592,27,11.79660705,3.36729583,2009,22,330,4.104294893,2014,11,0,5,0,용산파크타워(24-1)
271117,5.070977523,20,12.25961815,3.465735903,2009,22,330,3.975936331,2015,3,0,6,0,용산파크타워(24-1)
271121,4.574298522,10,11.58059346,2.890371758,2009,22,330,3.487375078,2015,8,0,6,0,용산파크타워(24-1)
271123,4.81656499,25,11.28979441,2.397895273,2010,22,288,3.723280881,2015,5,0,5,0,리첸시아용산
271124,4.065945088,20,10.80974815,2.079441542,2014,22,288,2.990719732,2014,9,0,0,0,용산더프라임
271125,3.679081612,29,10.46313191,2.397895273,2014,22,288,2.617395833,2014,11,0,0,0,용산더프라임
271126,4.454068188,22,11.18443529,3.258096538,2014,22,288,3.36729583,2014,12,0,0,0,용산더프라임
271129,4.10358507,28,10.87428541,2.397895273,2014,22,288,3.0301337,2015,2,0,1,0,용산더프라임
