경기번호,팀명,홈_어웨이
143,현대건설,1
144,KGC인삼공사,0
144,한국도로공사,1
145,현대건설,1
145,흥국생명,0
146,IBK기업은행,0
146,KGC인삼공사,1
147,GS칼텍스,0
147,흥국생명,1
148,한국도로공사,0
148,현대건설,1
149,KGC인삼공사,1
149,현대건설,0
150,IBK기업은행,1
150,흥국생명,0
151,한국도로공사,0
151,흥국생명,1
152,GS칼텍스,1
152,KGC인삼공사,0
153,GS칼텍스,1
153,한국도로공사,0
154,IBK기업은행,0
154,현대건설,1
155,KGC인삼공사,1
155,흥국생명,0
156,GS칼텍스,0
156,IBK기업은행,1
157,KGC인삼공사,0
157,흥국생명,1
158,GS칼텍스,1
158,IBK기업은행,0
159,현대건설,0
159,흥국생명,1
160,한국도로공사,1
160,현대건설,0
161,IBK기업은행,1
161,KGC인삼공사,0
162,GS칼텍스,1
162,한국도로공사,0
163,KGC인삼공사,0
163,현대건설,1
164,IBK기업은행,0
164,흥국생명,1
165,GS칼텍스,0
165,현대건설,1
166,한국도로공사,1
166,흥국생명,0
167,GS칼텍스,0
167,KGC인삼공사,1
168,IBK기업은행,0
168,한국도로공사,1
169,KGC인삼공사,1
169,한국도로공사,0
170,GS칼텍스,1
170,흥국생명,0
171,IBK기업은행,1
171,현대건설,0
172,GS칼텍스,0
172,IBK기업은행,1
173,한국도로공사,0
173,현대건설,1
174,IBK기업은행,0
174,현대건설,1
175,GS칼텍스,1
175,KGC인삼공사,0
176,GS칼텍스,0
176,흥국생명,1
177,KGC인삼공사,1
177,현대건설,0
178,KGC인삼공사,0
178,한국도로공사,1
179,IBK기업은행,1
179,흥국생명,0
180,GS칼텍스,1
180,현대건설,0
181,KGC인삼공사,1
181,흥국생명,0
182,GS칼텍스,0
182,한국도로공사,1
183,한국도로공사,0
183,흥국생명,1
184,IBK기업은행,0
184,KGC인삼공사,1
185,현대건설,1
185,흥국생명,0
186,IBK기업은행,1
186,한국도로공사,0
187,GS칼텍스,0
187,한국도로공사,1
188,GS칼텍스,1
188,한국도로공사,0
189,GS칼텍스,0
189,한국도로공사,1
190,한국도로공사,0
190,흥국생명,1
191,한국도로공사,0
191,흥국생명,1
192,한국도로공사,1
192,흥국생명,0
193,한국도로공사,1
193,흥국생명,0
194,한국도로공사,0
194,흥국생명,1
195,IBK기업은행,1
195,KGC인삼공사,0
196,GS칼텍스,1
196,흥국생명,0
197,KGC인삼공사,1
197,현대건설,0
198,IBK기업은행,1
198,한국도로공사,0
199,현대건설,0
199,흥국생명,1
200,GS칼텍스,0
200,한국도로공사,1
201,KGC인삼공사,1
201,흥국생명,0
202,GS칼텍스,1
202,IBK기업은행,0
203,한국도로공사,1
203,현대건설,0
204,GS칼텍스,0
204,KGC인삼공사,1
205,IBK기업은행,0
205,현대건설,1
206,KGC인삼공사,0
206,한국도로공사,1
207,GS칼텍스,1
207,현대건설,0
208,IBK기업은행,1
208,흥국생명,0
209,한국도로공사,1
209,현대건설,0
210,IBK기업은행,0
210,흥국생명,1
211,KGC인삼공사,1
211,한국도로공사,0
212,현대건설,1
212,흥국생명,0
213,GS칼텍스,0
213,IBK기업은행,1
214,KGC인삼공사,0
