경기번호,경기날짜,팀명,홈_어웨이,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,팀코드,상대팀
6,2017-10-22,IBK기업은행,0,1,114,80,143,61,13,5,209.52,100.01,73,28,9,4,178.49,100.01,22,11,0,1,158.82,100.01,3,3,0,0,200.0,100.0,18,7,3,0,71.15,100.0,6,2,0,0,40.0,100.0,21,10,1,0,169.53,100.0,103,9,7,1.7999999999999998,100.0,100,83,17,0,17.27,100.0,145,57,0,13.8,100.01,80,45,9,7.2,100.0,89,10,39,22,3,2.0,99.99,6,0,15,3,한국도로공사
6,2017-10-22,한국도로공사,1,0,128,80,161,58,10,4,188.44,99.99,79,32,5,1,170.44,100.0,12,3,1,0,50.0,100.0,5,1,0,0,33.33,100.0,20,6,2,3,33.33,100.0,16,7,1,0,87.5,100.0,29,9,1,0,70.83,99.99,97,9,16,1.8,99.99,103,87,16,0,17.5,99.99,162,55,3,12.6,100.0,96,50,9,9.9,100.01,64,13,23,21,1,2.6,100.0,13,0,24,2,IBK기업은행
7,2017-10-24,GS칼텍스,0,0,121,83,161,68,14,11,227.42,100.0,68,21,11,5,189.62,99.99,5,0,0,0,0.0,100.0,1,1,0,0,100.0,100.0,27,16,0,1,138.88,100.0,11,3,1,3,83.33,99.99,49,27,2,2,171.57999999999998,100.0,104,10,10,2.58,100.0,95,75,19,1,19.08,100.0,165,67,1,18.67,99.99,98,42,2,11.5,100.0,59,5,16,24,2,1.42,99.97,5,0,25,0,KGC인삼공사
7,2017-10-24,KGC인삼공사,1,1,81,79,149,63,5,10,262.31,100.0,81,27,2,6,179.87,99.99,4,2,0,0,200.0,100.0,0,0,0,0,0.0,0.0,28,21,1,0,77.78,100.0,17,7,1,1,84.72,100.0,19,6,1,3,98.33,100.01,104,2,5,0.5,99.98,94,75,19,0,18.75,100.0,154,60,2,15.0,100.02,94,40,10,8.0,100.0,75,14,24,23,3,3.5,100.0,13,0,20,4,GS칼텍스
8,2017-10-25,현대건설,1,1,102,61,85,43,4,5,260.93,100.0,37,16,2,4,101.52,99.99,12,5,0,1,278.57,99.99,0,0,0,0,0.0,0.0,14,7,1,0,100.0,100.0,10,7,0,0,150.0,100.0,12,8,1,0,210.0,100.0,73,7,5,2.33,100.01,56,49,7,0,16.34,100.0,92,42,1,13.99,100.0,49,19,1,6.01,100.01,53,11,18,11,2,3.66,100.01,9,0,13,5,흥국생명
8,2017-10-25,흥국생명,0,0,145,36,112,31,11,12,236.48,100.0,65,18,9,6,245.22,100.02,3,0,1,0,0.0,99.99,8,3,0,1,73.33,100.0,20,6,1,4,33.33,100.0,10,1,0,0,14.29,100.0,6,3,0,1,150.0,100.01,51,1,2,0.33,99.99,62,53,9,0,20.34,99.99,107,26,0,10.66,99.98,68,27,7,7.17,99.99,29,4,13,11,0,1.67,100.0,3,0,14,1,현대건설
9,2017-10-28,GS칼텍스,0,0,147,48,112,38,9,12,341.12,100.01,49,16,3,8,230.2,99.99,4,1,0,0,100.0,100.0,1,0,0,0,0.0,100.0,22,9,3,3,56.25,100.0,11,5,3,0,135.0,99.99,25,7,0,1,161.9,100.0,61,4,11,1.66,99.98,63,53,10,0,19.33,99.99,112,35,2,11.67,100.0,70,36,5,11.5,100.01,34,6,13,10,0,2.33,99.98,3,0,25,0,현대건설
9,2017-10-28,현대건설,1,1,102,50,80,36,6,5,280.73,100.0,35,13,1,3,165.55,100.0,9,5,3,0,183.34,99.99,0,0,0,0,0.0,0.0,13,5,1,2,62.5,100.0,13,8,0,0,121.43,100.0,10,5,1,0,143.32999999999998,100.0,74,5,4,1.6700000000000002,100.01,54,47,7,0,15.68,99.99,88,35,2,11.66,100.0,50,25,4,7.0,100.0,55,9,14,15,1,3.0,99.99,4,0,12,5,GS칼텍스
10,2017-10-29,KGC인삼공사,1,1,95,83,160,61,12,9,226.25,100.01,92,33,7,8,256.33,100.0,2,0,1,0,0.0,100.0,3,1,0,1,33.33,100.0,34,16,3,0,47.06,100.0,15,5,0,0,66.07,100.0,14,6,1,0,112.5,100.0,112,5,7,1.05,99.98,114,95,19,0,20.35,100.0,169,57,2,11.45,100.0,90,38,4,7.779999999999999,99.99,90,17,26,25,0,3.45,100.0,14,0,18,4,한국도로공사
10,2017-10-29,한국도로공사,0,0,118,83,182,67,17,12,195.57,100.01,108,39,12,7,162.18,100.0,15,7,0,2,275.0,100.01,8,3,1,0,60.0,100.0,24,5,4,3,117.39,100.0,12,4,0,0,62.5,100.0,15,9,0,0,221.22,100.0,101,4,11,0.8,99.99,113,99,14,0,20.82,99.99,188,60,4,13.52,99.99,105,48,5,9.25,99.99,76,12,24,24,2,2.5,100.0,10,0,29,2,KGC인삼공사
11,2017-10-31,GS칼텍스,1,0,138,50,110,43,7,7,292.36,100.01,50,14,3,4,292.15,100.0,6,3,1,0,100.0,100.0,1,1,0,0,100.0,100.0,15,8,1,1,57.14,100.0,7,2,0,0,40.0,100.0,31,15,2,2,156.94,100.0,62,4,9,1.32,100.0,62,53,9,0,18.34,99.98,111,41,3,13.67,99.98,67,28,2,11.49,100.0,50,3,12,23,1,1.16,100.0,3,0,20,0,IBK기업은행
11,2017-10-31,IBK기업은행,0,1,114,55,103,46,3,4,295.47,100.0,57,27,1,2,212.72,99.99,12,7,1,0,190.47,100.0,6,1,0,0,100.0,100.01,14,4,0,1,125.0,99.99,3,2,0,1,150.0,100.0,11,5,1,0,175.0,99.99,74,2,7,0.66,100.0,77,69,8,0,23.5,100.0,106,43,0,15.49,99.98,53,15,4,3.66,100.0,48,7,19,18,0,2.33,100.0,6,0,11,3,GS칼텍스
12,2017-11-01,한국도로공사,0,1,133,54,112,39,4,4,203.44,100.0,53,14,2,4,189.26,100.0,8,2,1,0,40.0,100.0,1,0,0,0,0.0,100.0,19,7,0,0,73.33,100.0,8,3,1,0,86.67,100.0,23,13,0,0,134.44,100.01,73,5,3,1.6700000000000002,100.01,76,71,5,0,24.34,100.0,113,36,2,12.16,99.97,51,27,2,103.31,100.0,56,10,21,15,1,3.34,100.01,7,0,10,2,흥국생명
12,2017-11-01,흥국생명,1,0,122,44,129,38,10,13,177.36,100.0,75,24,7,11,175.43,100.0,9,3,0,0,100.0,99.99,2,1,0,0,50.0,100.0,23,7,1,2,46.67,100.0,13,1,2,0,12.5,100.0,7,2,0,0,125.0,100.0,56,2,5,0.66,100.0,88,74,14,0,26.66,100.0,135,37,0,12.33,99.98,70,30,5,129.41,100.0,31,4,15,7,3,1.33,99.99,2,0,21,1,한국도로공사
13,2017-11-04,GS칼텍스,1,1,138,86,157,71,4,12,236.45,99.99,55,24,4,3,287.22,100.01,14,5,0,1,77.5,99.99,0,0,0,0,0.0,0.0,35,14,0,3,110.48,100.0,11,2,0,3,58.33,99.99,42,26,0,2,178.5,100.0,110,2,11,0.5,100.01,99,80,18,1,16.77,99.99,160,67,1,13.7,100.04,92,43,4,8.15,99.99,73,13,31,17,2,3.3,100.01,8,0,27,0,흥국생명
13,2017-11-04,흥국생명,0,0,141,74,166,66,13,10,334.74,100.0,100,44,6,6,293.04,100.0,7,1,2,0,33.33,100.01,3,2,0,0,66.67,100.0,21,7,2,2,57.5,100.0,15,7,1,0,91.07,100.0,20,5,2,2,66.66,100.0,102,4,10,0.8,100.0,110,87,22,1,18.5,100.0,177,62,2,12.4,99.98,99,40,2,7.649999999999999,100.0,55,4,22,24,2,0.8,100.0,2,0,25,1,GS칼텍스
14,2017-11-05,한국도로공사,1,1,110,80,160,64,10,6,331.18,100.02,73,27,4,4,296.13,100.01,8,3,1,0,60.0,100.0,7,2,0,0,33.33,100.0,20,5,1,1,47.44,100.0,12,8,0,1,133.32999999999998,100.0,40,19,4,0,387.14,100.0,99,4,9,1.0,99.99,110,97,12,1,24.58,100.01,164,60,1,15.0,100.0,80,36,4,8.33,100.0,74,12,30,17,2,3.0,99.99,10,0,19,2,현대건설
14,2017-11-05,현대건설,0,0,102,63,163,49,12,13,151.92,100.0,63,18,6,5,115.0,100.01,16,6,1,0,86.36,100.0,0,0,0,0,0.0,0.0,30,5,4,4,23.81,99.99,19,6,1,2,64.1,100.0,35,14,0,2,125.96,99.99,83,4,3,1.0,99.98,111,90,19,2,22.5,100.0,170,47,1,11.75,100.0,90,47,4,10.75,100.0,62,10,20,18,1,2.5,100.0,7,0,20,5,한국도로공사
15,2017-11-07,IBK기업은행,1,0,129,79,187,63,16,5,161.09,100.0,103,35,10,1,165.99,99.99,15,3,1,2,65.0,100.0,8,0,0,1,0.0,100.0,30,13,1,1,130.07,100.0,11,5,2,0,50.0,100.0,20,7,2,0,136.9,100.0,98,4,12,0.8,100.0,137,113,24,0,23.98,100.01,186,61,3,12.88,100.0,93,42,4,8.05,100.01,92,12,35,27,0,2.4,99.99,9,0,20,3,KGC인삼공사
15,2017-11-07,KGC인삼공사,0,1,95,84,180,64,12,5,194.72,100.0,83,25,7,2,143.79,100.0,17,8,0,0,146.66,100.0,2,0,0,0,0.0,100.0,37,14,2,2,37.84,100.0,16,7,1,1,83.33,100.0,25,10,2,0,111.67,100.0,104,4,11,0.8,99.99,134,119,15,0,24.07,99.99,188,63,2,12.6,100.0,86,39,4,7.27,100.0,91,16,31,27,1,3.2,100.0,11,0,19,4,IBK기업은행
16,2017-11-08,GS칼텍스,0,1,117,88,185,73,13,12,291.35,100.01,78,31,7,4,322.75,99.98,7,1,0,0,50.0,100.0,4,1,1,0,25.0,100.0,32,13,2,6,74.71000000000001,100.01,10,3,1,1,60.0,100.0,54,24,2,1,133.89,100.0,108,3,5,0.73,99.99,127,106,21,0,22.65,99.99,193,72,1,19.95,100.01,96,42,4,7.75,100.0,68,12,22,17,0,2.67,100.0,9,0,18,0,현대건설
16,2017-11-08,현대건설,1,0,120,84,177,67,12,9,221.83,99.99,66,24,3,1,198.54,100.01,10,5,1,0,200.0,100.0,1,0,0,0,0.0,100.0,49,17,4,4,53.31,100.0,18,9,1,1,108.34,100.0,33,12,3,3,111.36,99.99,103,4,7,0.8,100.0,118,95,22,1,19.0,100.0,184,65,2,13.0,100.0,102,53,3,10.3,100.0,89,13,28,28,1,2.6,99.99,11,0,20,5,GS칼텍스
17,2017-11-09,한국도로공사,1,1,110,62,128,49,6,7,222.77,99.99,57,18,4,2,169.42000000000002,99.99,27,15,1,3,217.26,100.0,7,5,0,0,166.67000000000002,100.0,8,2,0,0,28.57,100.0,9,4,1,0,90.0,100.0,20,5,0,2,61.43,100.0,82,1,8,0.33,100.0,85,74,10,1,24.66,99.99,128,46,0,15.33,100.01,62,36,3,10.99,100.01,61,12,17,23,0,3.99,100.01,9,0,16,2,흥국생명
17,2017-11-09,흥국생명,0,0,91,55,129,46,12,9,174.49,100.0,80,29,9,5,201.56,100.0,3,3,0,0,200.0,100.0,5,3,1,0,150.0,100.0,19,6,0,2,61.9,100.0,12,2,1,2,28.57,99.99,10,3,1,0,166.67000000000002,100.0,73,3,11,1.0,100.01,88,72,16,0,24.0,99.99,139,44,2,14.83,100.01,74,33,1,10.66,100.0,50,6,23,12,0,2.16,100.0,5,0,22,1,한국도로공사
18,2017-11-11,IBK기업은행,0,1,126,60,114,43,8,8,190.92,100.0,62,22,5,4,158.76999999999998,100.01,9,1,1,1,14.29,100.0,5,3,0,0,166.67000000000002,100.0,8,1,1,1,20.0,100.0,5,2,0,0,66.67,100.0,25,14,1,2,191.11,100.0,73,8,5,2.67,100.01,73,68,5,0,24.17,100.01,116,41,2,13.66,100.0,54,24,2,7.33,99.99,68,9,27,15,0,3.0,100.0,6,0,15,3,KGC인삼공사
18,2017-11-11,KGC인삼공사,1,0,98,41,119,31,9,10,114.57,99.99,58,13,3,5,103.0,99.99,9,1,1,0,16.67,100.0,1,0,0,0,0.0,100.0,25,10,3,1,40.0,100.0,8,4,0,0,93.33,100.0,18,3,2,4,33.33,100.0,58,2,4,0.67,100.0,89,70,18,1,23.33,100.0,126,31,0,10.82,100.0,68,21,8,5.33,100.0,49,8,19,15,0,2.67,100.01,8,0,15,4,IBK기업은행
19,2017-11-12,GS칼텍스,1,0,123,54,116,45,2,12,187.3,100.0,39,15,1,3,123.33,99.99,8,4,0,0,116.67,100.0,1,0,0,0,0.0,100.0,24,7,1,4,33.33,100.0,9,4,0,0,90.0,100.0,35,15,0,5,130.68,100.0,69,1,6,0.33,100.0,71,58,13,0,19.66,100.0,120,44,1,14.66,100.01,73,36,7,10.17,100.01,59,8,11,24,2,2.66,99.99,5,0,21,0,흥국생명
19,2017-11-12,흥국생명,0,1,118,56,123,47,8,10,191.88,100.01,69,25,5,3,128.81,100.0,3,0,0,1,0.0,100.0,9,6,0,0,150.0,100.0,12,3,1,3,50.0,100.0,12,4,1,0,62.86,100.0,18,9,1,3,162.5,100.0,76,7,3,2.5,100.01,82,71,11,0,26.33,100.0,130,47,1,15.66,100.01000000000002,63,28,1,9.0,100.0,43,2,17,16,0,1.33,100.01,2,0,14,1,GS칼텍스
20,2017-11-14,한국도로공사,0,0,136,60,128,54,17,7,376.26,100.01,58,16,10,5,242.09,100.0,13,6,1,0,275.0,99.99,9,8,0,0,166.67000000000002,100.0,13,6,0,0,94.44,100.0,11,7,2,0,225.0,100.0,24,11,4,2,214.11,100.0,77,2,9,0.5800000000000001,100.0,68,53,15,0,14.0,100.0,130,52,1,14.5,100.02,89,50,8,11.42,100.0,33,4,8,14,1,1.0,99.99,3,0,18,2,현대건설
20,2017-11-14,현대건설,1,1,97,78,106,53,4,4,296.48,100.0,39,17,1,3,318.27,99.99,18,8,1,0,155.13,100.0,0,0,0,0,0.0,0.0,15,9,1,1,110.0,100.0,11,9,1,0,163.32999999999998,100.0,23,10,0,0,129.48,100.0,95,8,6,2.0,99.99,72,54,18,0,13.5,100.01,108,50,4,12.5,100.02,68,34,2,8.0,100.0,59,17,16,16,2,4.25,99.99,15,0,16,5,한국도로공사
21,2017-11-15,KGC인삼공사,1,1,76,55,102,40,3,5,228.8,100.0,50,17,2,2,232.82,100.0,11,6,0,1,150.0,100.0,2,1,0,0,50.0,100.0,22,13,0,2,59.09,100.0,8,1,1,0,14.29,100.0,9,2,0,0,45.0,100.0,74,8,3,2.66,100.0,76,66,10,0,22.0,100.0,101,38,1,12.83,100.0,43,18,2,5.33,100.01,42,7,16,13,0,2.3200000000000003,100.0,7,0,9,4,흥국생명
21,2017-11-15,흥국생명,0,0,131,37,109,32,7,10,195.98,99.99,52,15,4,6,112.32,100.0,10,2,0,0,125.0,100.0,13,5,0,1,77.5,100.0,9,2,0,1,45.0,100.0,14,6,2,1,133.32999999999998,100.01,11,2,1,1,66.67,100.0,47,2,4,0.67,100.01,71,54,16,1,19.17,100.0,107,31,3,10.33,99.98,70,27,8,6.33,100.0,34,3,18,3,1,0.99,99.99,1,0,19,1,KGC인삼공사
22,2017-11-16,GS칼텍스,0,1,129,83,167,72,9,7,317.45,100.0,85,30,5,4,263.03,100.0,7,5,0,0,250.0,100.0,0,0,0,0,0.0,0.0,34,13,3,2,136.36,100.0,12,7,1,1,150.0,100.0,29,17,0,0,285.08,100.0,111,3,11,0.73,100.01,103,84,19,0,18.450000000000003,99.98,168,69,3,14.73,100.02,99,43,5,9.8,99.99,83,8,25,34,2,1.86,100.0,7,0,23,0,IBK기업은행
22,2017-11-16,IBK기업은행,1,0,129,86,168,72,8,10,369.31,100.01,92,36,7,5,268.64,99.99,9,5,0,1,166.67000000000002,99.99,8,2,0,0,66.67,100.0,25,13,0,1,95.0,100.0,9,5,0,1,157.14,100.0,25,11,1,2,177.26999999999998,100.0,109,5,10,1.0,99.99,115,87,26,2,20.7,100.0,169,70,2,15.429999999999998,100.0,100,40,3,8.75,100.0,66,9,27,16,4,1.8,100.01,9,0,28,3,GS칼텍스
23,2017-11-18,KGC인삼공사,0,0,81,76,184,62,13,10,236.2,100.0,113,33,9,8,214.12,99.98,11,5,0,0,94.44,100.0,4,2,0,0,50.0,100.0,30,13,1,1,43.33,100.0,6,1,0,0,20.0,100.0,20,8,3,1,203.33,100.0,101,4,11,0.95,99.99,143,126,17,0,28.1,100.01,191,56,4,13.65,100.0,90,21,7,3.55,99.99,79,10,32,22,0,2.1,100.01,8,0,25,4,한국도로공사
23,2017-11-18,한국도로공사,1,1,133,79,188,59,10,10,190.68,99.99,93,25,5,6,129.54,100.01,20,10,0,0,245.45,100.0,5,0,1,1,0.0,100.0,19,5,0,1,59.09,100.0,14,6,2,0,75.56,100.0,37,13,2,2,127.83,100.02,103,7,13,1.4,99.99,135,117,18,0,24.0,100.01,190,56,0,11.2,100.01,90,42,4,8.100000000000001,100.0,87,13,32,24,1,2.6,100.0,13,0,24,2,KGC인삼공사
24,2017-11-19,현대건설,1,1,102,63,105,48,3,3,280.03,100.01,49,18,1,2,205.43,100.0,10,3,0,0,133.32999999999998,100.0,3,2,0,0,150.0,100.0,11,5,1,1,94.44,100.0,14,8,0,0,106.67,100.0,18,12,1,0,183.33,100.0,73,3,7,0.99,100.01,67,58,8,1,19.32,100.02,106,43,1,14.33,100.0,59,28,3,8.33,100.0,66,12,16,20,0,4.0,100.0,6,0,12,5,흥국생명
24,2017-11-19,흥국생명,0,0,124,47,123,41,12,7,224.58,100.01,47,12,2,3,104.52,100.0,11,4,1,0,125.0,99.99,10,3,3,1,65.0,100.0,11,5,0,2,82.14,100.0,11,2,2,1,40.0,99.99,33,15,4,0,222.62,99.99,61,3,2,0.99,100.0,87,70,17,0,24.0,100.0,128,40,0,13.33,99.99,66,43,3,13.33,99.99,31,3,13,7,3,1.17,100.01,2,0,12,1,현대건설
25,2017-11-21,GS칼텍스,1,0,137,60,143,50,14,10,265.54,100.02,66,25,5,3,254.86,100.01,2,0,1,1,0.0,100.0,0,0,0,0,0.0,0.0,20,4,4,2,67.65,100.0,18,7,1,0,112.86,100.0,37,14,3,4,118.27,100.0,82,6,6,1.58,100.01,89,73,15,1,19.0,100.02,144,49,0,12.58,100.0,82,35,5,8.0,100.0,53,4,21,15,1,1.0,100.0,3,0,18,0,한국도로공사
25,2017-11-21,한국도로공사,0,1,129,76,129,57,4,6,260.65,100.0,55,20,1,4,188.78,100.02,21,15,1,0,390.0,100.0,7,2,1,0,50.0,100.0,7,4,1,0,116.67,100.0,8,3,0,0,75.0,100.0,31,13,0,2,130.47,100.01,94,5,11,1.25,100.0,85,73,11,1,19.08,100.01,132,55,2,13.75,100.01,76,40,6,8.75,100.0,60,14,19,13,1,3.5,100.0,12,0,21,2,GS칼텍스
26,2017-11-22,IBK기업은행,0,0,114,39,104,32,12,4,146.92,100.0,40,13,6,2,108.18,100.0,7,4,0,0,250.0,100.01,7,4,1,0,150.0,100.0,25,6,4,1,48.08,100.0,7,0,0,1,0.0,100.01,18,5,1,0,113.33,100.01,53,5,6,1.83,99.98,62,49,13,0,18.33,100.0,111,32,0,13.0,99.99,67,30,4,8.66,100.0,44,2,19,16,1,0.66,100.01,1,0,11,3,현대건설
26,2017-11-22,현대건설,1,1,97,64,97,48,2,4,289.94,100.0,47,25,1,2,238.57,100.0,7,2,0,0,120.0,100.01,1,1,0,0,100.0,100.0,12,4,0,1,44.44,100.0,13,9,1,1,138.10000000000002,100.0,17,7,0,0,123.33,99.99,73,4,6,1.32,100.01,71,62,9,0,20.68,100.01,97,45,1,15.0,99.99,47,16,5,4.0,100.01,51,12,16,15,1,4.0,100.0,8,0,12,5,IBK기업은행
27,2017-11-25,IBK기업은행,0,0,120,70,177,52,6,10,131.76,99.99,91,26,2,5,140.06,100.01,12,4,1,0,133.32999999999998,100.0,7,1,1,0,20.0,100.0,39,11,1,3,84.1,100.0,9,1,0,0,33.33,100.0,19,9,1,2,147.14,100.0,97,6,11,1.25,99.99,119,103,15,1,23.35,99.99,179,52,2,11.2,100.01,97,35,6,5.800000000000001,100.0,91,12,27,30,4,2.5,100.01,10,0,28,3,흥국생명
27,2017-11-25,흥국생명,1,1,118,80,191,68,12,13,219.1,99.99,112,40,6,7,175.15,100.0,16,7,1,2,183.33,100.0,7,2,2,0,40.0,100.0,21,6,0,3,59.09,100.0,8,3,0,0,73.33,100.0,27,10,3,1,121.15,100.0,109,6,12,1.2000000000000002,99.99,133,122,11,0,25.5,99.99,191,67,2,13.4,100.0,86,39,6,6.6000000000000005,100.0,75,6,33,20,1,1.2000000000000002,99.99,3,0,28,1,IBK기업은행
28,2017-11-26,KGC인삼공사,0,1,87,59,107,47,8,2,159.65,100.0,63,27,2,1,117.15,100.01,3,2,0,0,150.0,100.0,1,1,0,0,100.0,100.0,26,12,3,1,46.15,100.0,2,0,1,0,0.0,100.0,12,5,2,0,140.0,99.99,74,5,3,1.66,99.99,73,66,7,0,22.67,100.01,117,46,4,15.33,99.99,58,24,4,6.66,99.99,53,7,21,16,0,2.3400000000000003,99.99,7,0,9,4,현대건설
