,시즌,팀명,총경기수,이긴경기,승률,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,디그_성공률,세트_성공률,리시브_정확률,블로킹_성공률
0,17-18,IBK기업은행,36,21,58.333333333333336,21.541927083333334,18.708619791666667,12.508098958333333,8.743151041666666,7.450572916666666,7.4441927083333335,16.925208333333334,0.12408854166666666,83.35778992230296,30.062998158523452,36.78031035722224,11.163627960051791
1,17-18,현대건설,33,15,45.45454545454545,25.670598006644518,20.193588039867112,16.61687707641196,2.6135215946843853,7.148338870431894,10.821860465116279,15.376312292358806,0.14651162790697675,82.86212671284962,20.710968964673643,37.000244182085765,14.326370959594247
2,17-18,한국도로공사,33,24,72.72727272727273,22.98970822281167,18.414429708222812,15.168594164456234,8.311962864721485,6.456631299734748,8.244827586206897,15.81238726790451,0.11275862068965517,83.49907185174868,24.908271967378607,36.99763553693383,12.853338136359035
3,17-18,흥국생명,30,11,36.666666666666664,18.930972972972974,15.827432432432431,9.181135135135134,4.907648648648649,5.510054054054054,5.7721351351351355,10.157243243243244,0.09881081081081082,82.72975991759256,18.75582066569228,34.822249231950764,10.430446417630053
4,17-18,KGC인삼공사,30,12,40.0,21.380336391437307,19.37795107033639,10.874159021406728,2.854189602446483,4.692232415902141,7.619235474006116,13.352721712538226,0.08755351681957187,83.02267271916534,21.529093818615706,31.48463137630412,10.994762044594882
5,17-18,GS칼텍스,30,13,43.333333333333336,21.447119113573407,18.392714681440445,8.428725761772853,1.3157894736842106,6.101883656509695,6.984293628808864,12.589224376731302,0.11822714681440444,80.40853380098307,23.933158629872942,43.848654894593295,10.230483144635704
0,18-19,한국도로공사,37,25,67.56756756756756,24.038621495327103,20.228341121495326,13.902943925233645,8.423341121495326,5.769275700934579,8.022359813084112,14.52626168224299,0.07796728971962616,84.67399712467548,24.210034063035796,39.19834944117863,10.4141630267626
1,18-19,흥국생명,34,22,64.70588235294117,21.79468030690537,19.584910485933502,12.593452685421994,4.4733248081841435,6.642915601023018,7.107186700767263,10.681125319693093,0.09135549872122761,84.1877480829504,23.046759024745423,41.69907505441126,11.656300373037068
2,18-19,GS칼텍스,33,16,48.484848484848484,21.434354430379745,18.312101265822783,7.172987341772152,1.3164556962025316,6.297544303797469,6.985367088607594,14.29546835443038,0.09835443037974684,82.46943935854343,22.43617656790157,33.90852783575407,11.501338479305396
3,18-19,IBK기업은행,30,17,56.666666666666664,22.05671597633136,18.95346153846154,12.347189349112426,5.427603550295858,4.876982248520711,9.011923076923077,14.05887573964497,0.11026627218934912,83.81312748607898,25.496985400896012,37.820934339713155,12.043156225362194
4,18-19,현대건설,30,11,36.666666666666664,24.52167808219178,22.182431506849316,10.542260273972603,1.0559246575342465,5.833664383561644,9.544178082191781,15.786575342465754,0.09955479452054794,83.2123946601519,20.25735456162566,39.53289989280323,11.862827197165398
5,18-19,KGC인삼공사,30,6,20.0,22.544463768115943,18.813130434782607,12.284985507246375,3.719797101449275,3.901797101449276,6.977855072463768,16.126463768115944,0.0775072463768116,81.3428587180121,22.18472368814955,40.87835518731727,11.22506548946551
0,19-20,흥국생명,27,16,59.25925925925925,21.1975625,18.184593749999998,12.4426875,5.61971875,7.092093749999999,8.04940625,12.72753125,0.10909375000000002,81.4981175046402,24.04529404800265,29.214979704040545,10.532464450030297
1,19-20,IBK기업은행,27,9,33.33333333333333,19.939179810725552,17.214384858044163,10.935867507886435,5.317697160883281,3.9721766561514196,7.066561514195583,11.46268138801262,0.10186119873817034,79.25659828329107,21.11188945360842,29.97865434811668,11.482347459260211
2,19-20,GS칼텍스,27,18,66.66666666666666,22.097834757834757,19.547150997150997,7.668547008547008,3.5849572649572647,6.641680911680912,6.813589743589744,14.146210826210826,0.11153846153846153,81.49019289844065,27.61235929468506,31.30481042702409,12.393526401058185
3,19-20,현대건설,27,17,62.96296296296296,26.97425925925926,23.64359259259259,8.857999999999999,1.3888888888888888,3.7625925925925925,11.078703703703704,15.829592592592592,0.12462962962962962,84.1031474942225,21.9573998260065,33.35213532035548,14.305347981187161
4,19-20,한국도로공사,26,8,30.76923076923077,23.90182692307692,18.482211538461538,9.53676282051282,4.887820512820513,8.448429487179487,8.083685897435897,16.677500000000002,0.10641025641025642,78.28701462904084,19.656353854706282,30.644429945335776,10.367810056134969
5,19-20,KGC인삼공사,26,12,46.15384615384615,21.909299363057322,17.728057324840762,8.877770700636942,5.796146496815287,4.476050955414013,7.7075477707006375,14.509808917197452,0.11165605095541402,81.95224813079544,23.270713142471124,34.008568917281366,10.519375168804144
0,20-21,흥국생명,36,22,61.111111111111114,22.318910411622273,19.89818401937046,10.941089588377723,3.424963680387409,5.85501210653753,6.017772397094431,13.355835351089588,0.10610169491525424,81.79822418745698,25.788264691092802,32.88494572068389,11.091276208419478
1,20-21,GS칼텍스,33,22,66.66666666666666,22.741674418604653,18.75953488372093,8.144488372093024,0.5426279069767441,4.288023255813953,6.728116279069768,16.533255813953488,0.09774418604651162,80.15197439018988,28.262092389068368,39.29115256519436,14.509923209778847
2,20-21,IBK기업은행,33,14,42.42424242424242,22.015409356725147,20.100789473684213,11.822602339181286,5.360994152046784,6.108070175438597,8.584678362573099,12.774766081871347,0.10043859649122808,78.86324861292731,23.631695612669,33.73724963175417,11.017959977797245
3,20-21,현대건설,30,11,36.666666666666664,21.0804,19.964485714285715,10.757171428571429,2.0238,5.631714285714286,9.851571428571429,12.520257142857144,0.06565714285714286,82.1444464149148,24.21568496517394,37.449536364837705,10.469906731431216
