,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,팀코드
11,11,6,한국도로공사,0,128,80,161,58,10,4,188.44,99.99,79,32,5,1,170.44,100.0,12,3,1,0,50.0,100.0,5,1,0,0,33.33,100.0,20,6,2,3,33.33,100.0,16,7,1,0,87.5,100.0,29,9,1,0,70.83,99.99000000000001,97,9,16,1.8,99.99,103,87,16,0,17.5,99.99000000000001,162,55,3,12.600000000000001,100.0,96,50,9,9.9,100.01,64,13,23,21,1,2.6,100.0,13,0,24,0,2
12,12,7,GS칼텍스,0,121,83,161,68,14,11,227.42000000000002,100.0,68,21,11,5,189.62,99.99,5,0,0,0,0.0,100.0,1,1,0,0,100.0,100.0,27,16,0,1,138.88,100.0,11,3,1,3,83.33,99.99,49,27,2,2,171.57999999999998,100.0,104,10,10,2.58,100.0,95,75,19,1,19.08,100.0,165,67,1,18.67,99.99,98,42,2,11.5,100.0,59,5,16,24,2,1.42,99.97,5,0,25,1,0
13,13,7,KGC인삼공사,1,81,79,149,63,5,10,262.31,100.0,81,27,2,6,179.87,99.99,4,2,0,0,200.0,100.0,0,0,0,0,0.0,0.0,28,21,1,0,77.78,100.0,17,7,1,1,84.72,100.0,19,6,1,3,98.33,100.00999999999999,104,2,5,0.5,99.98,94,75,19,0,18.75,100.0,154,60,2,15.0,100.02000000000001,94,40,10,8.0,100.0,75,14,24,23,3,3.5,100.0,13,0,20,0,4
14,14,8,현대건설,1,102,61,85,43,4,5,260.93,100.0,37,16,2,4,101.52000000000001,99.99,12,5,0,1,278.57,99.99,0,0,0,0,0.0,0.0,14,7,1,0,100.0,100.0,10,7,0,0,150.0,100.0,12,8,1,0,210.0,100.0,73,7,5,2.33,100.01,56,49,7,0,16.34,100.0,92,42,1,13.99,100.0,49,19,1,6.01,100.00999999999999,53,11,18,11,2,3.66,100.01,9,0,13,1,5
15,15,8,흥국생명,0,145,36,112,31,11,12,236.48,100.0,65,18,9,6,245.22,100.02,3,0,1,0,0.0,99.99,8,3,0,1,73.33,100.0,20,6,1,4,33.33,100.0,10,1,0,0,14.29,100.0,6,3,0,1,150.0,100.01,51,1,2,0.33,99.99,62,53,9,0,20.34,99.99,107,26,0,10.66,99.97999999999999,68,27,7,7.17,99.99,29,4,13,11,0,1.67,100.0,3,0,14,0,1
16,16,9,GS칼텍스,0,147,48,112,38,9,12,341.12,100.00999999999999,49,16,3,8,230.2,99.99,4,1,0,0,100.0,100.0,1,0,0,0,0.0,100.0,22,9,3,3,56.25,100.0,11,5,3,0,135.0,99.99000000000001,25,7,0,1,161.9,100.0,61,4,11,1.6600000000000001,99.97999999999999,63,53,10,0,19.33,99.99,112,35,2,11.67,100.00000000000001,70,36,5,11.5,100.01,34,6,13,10,0,2.33,99.98,3,0,25,1,0
17,17,9,현대건설,1,102,50,80,36,6,5,280.73,100.0,35,13,1,3,165.55,100.0,9,5,3,0,183.34,99.99,0,0,0,0,0.0,0.0,13,5,1,2,62.5,100.0,13,8,0,0,121.43,100.0,10,5,1,0,143.32999999999998,100.0,74,5,4,1.6700000000000002,100.01,54,47,7,0,15.68,99.99000000000001,88,35,2,11.66,100.0,50,25,4,7.0,100.0,55,9,14,15,1,3.0,99.99,4,0,12,0,5
18,18,10,KGC인삼공사,1,95,83,160,61,12,9,226.25,100.01,92,33,7,8,256.33,100.0,2,0,1,0,0.0,100.0,3,1,0,1,33.33,100.0,34,16,3,0,47.06,100.0,15,5,0,0,66.07,100.0,14,6,1,0,112.5,100.0,112,5,7,1.05,99.98,114,95,19,0,20.35,100.0,169,57,2,11.45,100.00000000000001,90,38,4,7.779999999999999,99.99,90,17,26,25,0,3.45,100.0,14,0,18,1,4
19,19,10,한국도로공사,0,118,83,182,67,17,12,195.57,100.00999999999999,108,39,12,7,162.18,100.0,15,7,0,2,275.0,100.01,8,3,1,0,60.0,100.0,24,5,4,3,117.39,100.0,12,4,0,0,62.5,100.0,15,9,0,0,221.22,100.0,101,4,11,0.8,99.99,113,99,14,0,20.82,99.99,188,60,4,13.52,99.99,105,48,5,9.25,99.99000000000001,76,12,24,24,2,2.5,100.0,10,0,29,0,2
20,20,11,GS칼텍스,0,138,50,110,43,7,7,292.36,100.00999999999999,50,14,3,4,292.15,100.0,6,3,1,0,100.0,100.0,1,1,0,0,100.0,100.0,15,8,1,1,57.14,100.0,7,2,0,0,40.0,100.0,31,15,2,2,156.94,100.0,62,4,9,1.32,100.0,62,53,9,0,18.34,99.97999999999999,111,41,3,13.67,99.98,67,28,2,11.49,100.0,50,3,12,23,1,1.1600000000000001,100.0,3,0,20,1,0
21,21,11,IBK기업은행,1,114,55,103,46,3,4,295.47,100.0,57,27,1,2,212.72,99.99,12,7,1,0,190.47,100.0,6,1,0,0,100.0,100.01,14,4,0,1,125.0,99.99,3,2,0,1,150.0,100.0,11,5,1,0,175.0,99.99,74,2,7,0.66,100.0,77,69,8,0,23.5,100.0,106,43,0,15.49,99.98,53,15,4,3.66,100.0,48,7,19,18,0,2.33,100.0,6,0,11,0,3
22,22,12,한국도로공사,1,133,54,112,39,4,4,203.44,100.0,53,14,2,4,189.26,100.0,8,2,1,0,40.0,100.0,1,0,0,0,0.0,100.0,19,7,0,0,73.33,100.0,8,3,1,0,86.67,100.0,23,13,0,0,134.44,100.00999999999999,73,5,3,1.6700000000000002,100.01,76,71,5,0,24.34,100.0,113,36,2,12.16,99.97,51,27,2,103.31,100.0,56,10,21,15,1,3.34,100.01,7,0,10,1,2
23,23,12,흥국생명,0,122,44,129,38,10,13,177.36,100.0,75,24,7,11,175.43,100.0,9,3,0,0,100.0,99.99,2,1,0,0,50.0,100.0,23,7,1,2,46.67,100.0,13,1,2,0,12.5,100.0,7,2,0,0,125.0,100.0,56,2,5,0.66,100.0,88,74,14,0,26.66,100.0,135,37,0,12.33,99.98,70,30,5,129.41,100.0,31,4,15,7,3,1.33,99.99000000000001,2,0,21,0,1
24,24,13,GS칼텍스,1,138,86,157,71,4,12,236.45,99.99,55,24,4,3,287.22,100.00999999999999,14,5,0,1,77.5,99.99,0,0,0,0,0.0,0.0,35,14,0,3,110.47999999999999,100.0,11,2,0,3,58.33,99.99,42,26,0,2,178.5,100.0,110,2,11,0.5,100.01,99,80,18,1,16.77,99.99000000000001,160,67,1,13.700000000000001,100.04,92,43,4,8.15,99.99000000000001,73,13,31,17,2,3.3,100.01,8,0,27,1,0
25,25,13,흥국생명,0,141,74,166,66,13,10,334.74,100.0,100,44,6,6,293.03999999999996,100.0,7,1,2,0,33.33,100.00999999999999,3,2,0,0,66.67,100.0,21,7,2,2,57.5,100.0,15,7,1,0,91.07,100.0,20,5,2,2,66.66,100.0,102,4,10,0.8,100.0,110,87,22,1,18.5,100.0,177,62,2,12.399999999999999,99.98,99,40,2,7.6499999999999995,100.0,55,4,22,24,2,0.8,100.0,2,0,25,0,1
26,26,14,한국도로공사,1,110,80,160,64,10,6,331.18,100.02000000000001,73,27,4,4,296.13,100.00999999999999,8,3,1,0,60.0,100.0,7,2,0,0,33.33,99.99999999999999,20,5,1,1,47.44,100.0,12,8,0,1,133.32999999999998,100.0,40,19,4,0,387.14,100.0,99,4,9,1.0,99.99,110,97,12,1,24.58,100.01,164,60,1,15.0,99.99999999999999,80,36,4,8.33,100.0,74,12,30,17,2,3.0,99.99,10,0,19,1,2
27,27,14,현대건설,0,102,63,163,49,12,13,151.92,100.0,63,18,6,5,115.0,100.01,16,6,1,0,86.36,100.0,0,0,0,0,0.0,0.0,30,5,4,4,23.81,99.99,19,6,1,2,64.1,100.0,35,14,0,2,125.96000000000001,99.99000000000001,83,4,3,1.0,99.98,111,90,19,2,22.5,100.0,170,47,1,11.75,100.0,90,47,4,10.75,100.0,62,10,20,18,1,2.5,100.0,7,0,20,0,5
28,28,15,IBK기업은행,0,129,79,187,63,16,5,161.09,100.0,103,35,10,1,165.99,99.99,15,3,1,2,65.0,100.0,8,0,0,1,0.0,100.0,30,13,1,1,130.07,100.0,11,5,2,0,50.0,100.0,20,7,2,0,136.9,100.0,98,4,12,0.8,100.0,137,113,24,0,23.98,100.00999999999999,186,61,3,12.88,99.99999999999999,93,42,4,8.05,100.00999999999999,92,12,35,27,0,2.4,99.99,9,0,20,1,3
29,29,15,KGC인삼공사,1,95,84,180,64,12,5,194.72,100.0,83,25,7,2,143.79,100.0,17,8,0,0,146.66,100.0,2,0,0,0,0.0,100.0,37,14,2,2,37.84,100.0,16,7,1,1,83.33,100.0,25,10,2,0,111.67,100.0,104,4,11,0.8,99.99000000000001,134,119,15,0,24.07,99.99000000000001,188,63,2,12.6,100.0,86,39,4,7.27,100.0,91,16,31,27,1,3.2,100.0,11,0,19,0,4
30,30,16,GS칼텍스,1,117,88,185,73,13,12,291.35,100.01,78,31,7,4,322.75,99.97999999999999,7,1,0,0,50.0,100.0,4,1,1,0,25.0,100.0,32,13,2,6,74.71000000000001,100.00999999999999,10,3,1,1,60.0,100.0,54,24,2,1,133.89,100.0,108,3,5,0.73,99.99000000000001,127,106,21,0,22.65,99.99,193,72,1,19.95,100.00999999999999,96,42,4,7.75,100.0,68,12,22,17,0,2.67,100.0,9,0,18,1,0
31,31,16,현대건설,0,120,84,177,67,12,9,221.82999999999998,99.99,66,24,3,1,198.54,100.00999999999999,10,5,1,0,200.0,100.0,1,0,0,0,0.0,100.0,49,17,4,4,53.31,100.0,18,9,1,1,108.34,100.0,33,12,3,3,111.36,99.99,103,4,7,0.8,100.0,118,95,22,1,19.0,100.0,184,65,2,13.0,100.00000000000001,102,53,3,10.3,100.0,89,13,28,28,1,2.6,99.99000000000001,11,0,20,0,5
32,32,17,한국도로공사,1,110,62,128,49,6,7,222.76999999999998,99.99000000000001,57,18,4,2,169.42000000000002,99.99000000000001,27,15,1,3,217.26,100.0,7,5,0,0,166.67000000000002,100.0,8,2,0,0,28.57,100.0,9,4,1,0,90.0,100.0,20,5,0,2,61.43,100.0,82,1,8,0.33,100.0,85,74,10,1,24.66,99.99,128,46,0,15.33,100.00999999999999,62,36,3,10.99,100.00999999999999,61,12,17,23,0,3.99,100.01,9,0,16,1,2
33,33,17,흥국생명,0,91,55,129,46,12,9,174.49,100.0,80,29,9,5,201.56,100.0,3,3,0,0,200.0,100.0,5,3,1,0,150.0,100.0,19,6,0,2,61.9,100.0,12,2,1,2,28.57,99.99,10,3,1,0,166.67000000000002,100.0,73,3,11,1.0,100.01,88,72,16,0,24.0,99.99000000000001,139,44,2,14.83,100.00999999999999,74,33,1,10.66,100.0,50,6,23,12,0,2.16,100.0,5,0,22,0,1
34,34,18,IBK기업은행,1,126,60,114,43,8,8,190.92000000000002,100.0,62,22,5,4,158.76999999999998,100.00999999999999,9,1,1,1,14.29,100.0,5,3,0,0,166.67000000000002,100.0,8,1,1,1,20.0,100.0,5,2,0,0,66.67,100.0,25,14,1,2,191.11,100.0,73,8,5,2.67,100.00999999999999,73,68,5,0,24.17,100.00999999999999,116,41,2,13.66,100.0,54,24,2,7.33,99.99000000000001,68,9,27,15,0,3.0,100.0,6,0,15,1,3
35,35,18,KGC인삼공사,0,98,41,119,31,9,10,114.57,99.99000000000001,58,13,3,5,103.0,99.99,9,1,1,0,16.67,100.0,1,0,0,0,0.0,100.0,25,10,3,1,40.0,100.0,8,4,0,0,93.33,100.0,18,3,2,4,33.33,100.0,58,2,4,0.67,100.0,89,70,18,1,23.33,100.0,126,31,0,10.82,100.0,68,21,8,5.33,100.0,49,8,19,15,0,2.67,100.00999999999999,8,0,15,0,4
36,36,19,GS칼텍스,0,123,54,116,45,2,12,187.3,100.0,39,15,1,3,123.33,99.99,8,4,0,0,116.67,100.0,1,0,0,0,0.0,100.0,24,7,1,4,33.33,100.0,9,4,0,0,90.0,100.0,35,15,0,5,130.68,100.0,69,1,6,0.33,100.0,71,58,13,0,19.66,100.0,120,44,1,14.66,100.01,73,36,7,10.17,100.00999999999999,59,8,11,24,2,2.66,99.99000000000001,5,0,21,1,0
37,37,19,흥국생명,1,118,56,123,47,8,10,191.88,100.01,69,25,5,3,128.81,100.0,3,0,0,1,0.0,100.0,9,6,0,0,150.0,100.0,12,3,1,3,50.0,100.0,12,4,1,0,62.86,100.0,18,9,1,3,162.5,100.0,76,7,3,2.5,100.01,82,71,11,0,26.33,100.0,130,47,1,15.66,100.01000000000002,63,28,1,9.0,100.0,43,2,17,16,0,1.33,100.01,2,0,14,0,1
38,38,20,한국도로공사,0,136,60,128,54,17,7,376.26,100.01,58,16,10,5,242.09,100.0,13,6,1,0,275.0,99.99,9,8,0,0,166.67000000000002,100.0,13,6,0,0,94.44,100.0,11,7,2,0,225.0,100.0,24,11,4,2,214.11,100.0,77,2,9,0.5800000000000001,100.0,68,53,15,0,14.0,100.0,130,52,1,14.5,100.02000000000001,89,50,8,11.42,100.0,33,4,8,14,1,1.0,99.99,3,0,18,1,2
39,39,20,현대건설,1,97,78,106,53,4,4,296.48,100.0,39,17,1,3,318.27,99.99000000000001,18,8,1,0,155.13,100.0,0,0,0,0,0.0,0.0,15,9,1,1,110.0,100.0,11,9,1,0,163.32999999999998,100.0,23,10,0,0,129.48,100.0,95,8,6,2.0,99.99,72,54,18,0,13.5,100.01,108,50,4,12.5,100.02,68,34,2,8.0,100.0,59,17,16,16,2,4.25,99.99,15,0,16,0,5
40,40,21,KGC인삼공사,1,76,55,102,40,3,5,228.8,100.0,50,17,2,2,232.82,100.0,11,6,0,1,150.0,100.0,2,1,0,0,50.0,100.0,22,13,0,2,59.09,100.0,8,1,1,0,14.29,100.0,9,2,0,0,45.0,100.0,74,8,3,2.66,100.0,76,66,10,0,22.0,100.0,101,38,1,12.83,99.99999999999999,43,18,2,5.33,100.01,42,7,16,13,0,2.3200000000000003,100.0,7,0,9,1,4
41,41,21,흥국생명,0,131,37,109,32,7,10,195.98,99.99000000000001,52,15,4,6,112.32,100.0,10,2,0,0,125.0,100.0,13,5,0,1,77.5,100.0,9,2,0,1,45.0,100.0,14,6,2,1,133.32999999999998,100.00999999999999,11,2,1,1,66.67,100.0,47,2,4,0.67,100.01,71,54,16,1,19.17,100.0,107,31,3,10.33,99.97999999999999,70,27,8,6.33,100.0,34,3,18,3,1,0.99,99.99,1,0,19,0,1
