,결과,홈_어웨이,팀코드,홈어웨이_공격성공률_평균,홈어웨이_서브성공률_평균,홈어웨이_디그성공률_평균,홈어웨이_세트성공률_평균,홈어웨이_리시브정확도_평균,홈어웨이_블로킹성공률_평균,홈어웨이_범실_평균,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯
0,0,0,0,0.5350561797752807,0.06415730337078653,0.744775280898876,0.5101685393258429,0.4720786516853932,0.1961235955056181,24.589887640449437,24.804519774011293,0.7400338983050847,0.470960451977401,0.5317853107344634,0.191536723163842,0.5059661016949154,0.0668022598870055,24.804519774011293,0.7400338983050847,0.470960451977401,0.5317853107344634,0.191536723163842,0.5059661016949154,0.0668022598870055
1,1,1,1,0.5278488372093024,0.0505813953488372,0.7418023255813956,0.4912790697674418,0.4836627906976741,0.20872093023255817,21.41860465116279,22.62196531791907,0.7401271676300577,0.4771907514450865,0.520612716763006,0.2015606936416186,0.4849710982658961,0.0514335260115606,22.62196531791907,0.7401271676300577,0.4771907514450865,0.520612716763006,0.2015606936416186,0.4849710982658961,0.0514335260115606
2,1,1,2,0.5180588235294117,0.06647058823529413,0.7296470588235293,0.49388235294117633,0.41523529411764715,0.17217647058823526,23.741176470588236,23.534939759036146,0.7350722891566263,0.413867469879518,0.5099518072289156,0.1681084337349397,0.4795180722891566,0.0638313253012047,23.534939759036146,0.7350722891566263,0.413867469879518,0.5099518072289156,0.1681084337349397,0.4795180722891566,0.0638313253012047
3,0,0,3,0.5224390243902438,0.05054878048780488,0.7489634146341463,0.48426829268292704,0.43134146341463375,0.18542682926829257,22.20731707317073,22.909638554216876,0.7421566265060244,0.4238915662650604,0.5206867469879518,0.1819759036144579,0.4845783132530117,0.0491325301204819,22.909638554216876,0.7421566265060244,0.4238915662650604,0.5206867469879518,0.1819759036144579,0.4845783132530117,0.0491325301204819
4,1,1,4,0.5064634146341466,0.06359756097560977,0.749329268292683,0.4760975609756097,0.43237804878048786,0.1909146341463414,24.128048780487806,23.732934131736524,0.7474610778443114,0.4261437125748501,0.5161556886227547,0.1896167664670658,0.4814850299401199,0.0652335329341317,23.732934131736524,0.7474610778443114,0.4261437125748501,0.5161556886227547,0.1896167664670658,0.4814850299401199,0.0652335329341317
5,0,0,5,0.4714634146341462,0.05048780487804879,0.7451219512195124,0.4434756097560975,0.43481707317073187,0.16591463414634144,20.676829268292682,20.785276073619627,0.739141104294479,0.436932515337423,0.4787484662576685,0.1771533742331288,0.4490061349693255,0.0488957055214723,20.785276073619627,0.739141104294479,0.436932515337423,0.4787484662576685,0.1771533742331288,0.4490061349693255,0.0488957055214723
6,1,1,2,0.5180588235294117,0.06647058823529413,0.7296470588235293,0.49388235294117633,0.41523529411764715,0.17217647058823526,23.741176470588236,23.534939759036146,0.7350722891566263,0.413867469879518,0.5099518072289156,0.1681084337349397,0.4795180722891566,0.0638313253012047,23.534939759036146,0.7350722891566263,0.413867469879518,0.5099518072289156,0.1681084337349397,0.4795180722891566,0.0638313253012047
7,0,0,1,0.5131249999999999,0.05204545454545451,0.7379545454545453,0.4775568181818181,0.471931818181818,0.1944318181818182,23.875,22.621965317919077,0.7401271676300578,0.4771907514450866,0.5206127167630061,0.2015606936416185,0.4849710982658961,0.0514335260115606,22.621965317919077,0.7401271676300578,0.4771907514450866,0.5206127167630061,0.2015606936416185,0.4849710982658961,0.0514335260115606
8,1,1,0,0.5282022471910114,0.06938202247191007,0.7351685393258428,0.5016292134831458,0.4704494382022473,0.1864044943820225,25.01123595505618,24.804519774011293,0.7400338983050847,0.470960451977401,0.5317853107344634,0.191536723163842,0.5059661016949154,0.0668022598870055,24.804519774011293,0.7400338983050847,0.470960451977401,0.5317853107344634,0.191536723163842,0.5059661016949154,0.0668022598870055
9,0,0,6,0.5285057471264367,0.057011494252873565,0.7410344827586208,0.5015517241379311,0.4302298850574711,0.17488505747126434,20.632183908045977,20.041618497109823,0.7439537572254331,0.4308323699421968,0.5214104046242775,0.179271676300578,0.4953410404624278,0.0559421965317918,20.041618497109823,0.7439537572254331,0.4308323699421968,0.5214104046242775,0.179271676300578,0.4953410404624278,0.0559421965317918
